model,model_label,horizon,symbol,week,signal_date,signal_time,signal_close,entry,qty,invested,bar_low,stop,level_26w,trigger,rsi,macd_hist,exit_date,exit_time,exit,exit_reason,exit_note,bars_held,gross_pnl,costs,pnl,pnl_pct,r_multiple,mfe_pct,mae_pct,btst_tier,btst_day_ret,btst_rank,btst_source,btst_arm,btst_age
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,KARURVYSYA,2026-07-20,2026-07-22,11:00,345.75,345.75,289,99921.75,341.25,321.5475,343.45,cross,70.43186172629225,2.415966639378894,2026-07-28,close,338.4,TIME,4-day time exit,4,-2124.1500000000065,217.49128500000003,-2341.6412850000065,-2.3458134490238725,-0.3036876355748377,0.0,-4.1793203181489496,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,KRISHANA,2026-07-20,2026-07-23,14:55,155.4,155.4,643,99922.2,150.9,144.522,152.3,cross,70.19267776942952,1.4710181209126354,2026-07-28,close,164.8,TIME,3-day time exit,3,6044.200000000004,226.4774600000001,5817.722540000003,5.8289060489060445,0.8641294355580064,9.491634491634482,-3.7323037323037433,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,NIBL,2026-07-20,2026-07-24,13:00,36.67,36.67,2727,99999.09,36.48,34.1031,36.5,cross,66.35752571115884,0.4875640113584145,2026-07-28,close,37.0,TIME,2-day time exit,2,899.9099999999953,220.987899,678.9221009999953,0.6799181892555219,0.1285597413222166,3.626943005181338,-0.4908644668666473,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,NRAIL,2026-07-20,2026-07-24,09:25,526.0,526.0,190,99940.0,500.0,489.18,519.0,cross,63.42758481465672,0.8783665835305836,2026-07-27,close,489.18,SL,,1,-6995.800000000009,212.17262,-7207.97262000001,-7.220000000000006,-1.0,1.5969581749049278,-10.171102661596954,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,PREMIERPOL,2026-07-20,2026-07-23,10:40,84.36,84.36,1185,99966.6,82.79,78.45479999999999,83.9,cross,73.68806333993858,2.2297398605707253,2026-07-24,close,78.45479999999999,SL,,1,-6997.662000000009,212.2290918,-7209.891091800009,-7.220000000000006,-1.0,0.0,-9.554291133238502,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",intraday,PRUDENT,2026-07-27,2026-07-29,10:10,3162.9,3162.9,31,98049.9,3149.4,3148.77012,3160.1,cross,65.88111961267724,26.924715024187435,2026-07-29,10:15,3148.77012,SL,,1,-438.0262799999987,215.22795109200004,-653.2542310919987,-0.6667381200796705,-1.0,0.0,-0.4805716273040605,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,PYRAMID,2026-07-27,2026-07-27,11:10,189.1,189.1,528,99844.8,187.95,175.86299999999997,188.38,cross,63.05115328747228,1.3151553530273836,2026-07-28,close,183.06,TIME,1-day time exit,1,-3189.119999999996,216.150528,-3405.270527999996,-3.41407720782654,-0.4562967439752196,5.071390798519304,-4.151242728714966,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,SCPL,2026-07-20,2026-07-23,14:35,602.05,602.05,166,99940.3,588.2,559.9064999999999,594.85,cross,72.73075381247435,12.657429350045774,2026-07-28,close,578.75,TIME,3-day time exit,3,-3867.799999999993,215.61408,-4083.414079999992,-4.090110455942188,-0.5528729222774554,0.8221908479362217,-5.896520222572876,,,,,,
C_swing,"C · SWING (5-day hold, 7% stop, +3R target)",swing,VIMTALABS,2026-07-20,2026-07-21,13:35,610.9,610.9,163,99576.7,602.0,568.137,610.0,cross,61.65856078303906,17.020667417919924,2026-07-23,close,568.137,SL,,2,-6970.369000000005,211.4013341,-7181.770334100005,-7.220000000000006,-1.0,3.7813062694385335,-8.012768047143549,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,ARTEMISMED,2026-07-27,2026-07-29,11:35,298.1,298.1,0,0.0,294.95,277.233,295.0,cross,66.60330690101281,3.5006203828384006,,,0.0,NO_FILL,no daily candle after the signal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,ASIANENE,2026-07-27,2026-07-28,10:25,393.45,393.45,254,99936.3,388.55,365.9085,392.0,cross,64.23878095992342,3.706703784985745,2026-07-29,close,388.85,TIME,1-day time exit,1,-1168.3999999999917,218.57462,-1386.974619999991,-1.3891447452026882,-0.1670206778860976,0.0,-3.964925657643914,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,AURUM,2026-07-20,2026-07-20,12:30,243.25,243.25,411,99975.75,236.24,226.2225,237.0,cross,74.2256109955556,6.964591867586238,2026-07-22,close,226.2225,SL,,2,-6998.302500000002,212.24851725,-7210.551017250002,-7.220000000000006,-1.0,0.0,-8.06166495375129,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,BAJAJ-AUTO,2026-07-20,2026-07-22,11:20,10869.0,10869.0,9,97821.0,10814.5,10108.17,10834.0,cross,64.96668619882709,23.27087477555034,2026-07-29,close,11338.0,TIME,5-day time exit,5,4221.0,219.8493,4001.1507,4.095024381267829,0.6164320544668324,6.099917195694182,0.0,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,BLSE,2026-07-20,2026-07-24,14:15,286.04,286.04,349,99827.96,285.52,266.0172,285.9,cross,79.1273106672152,9.438715619624892,2026-07-29,close,298.81,TIME,3-day time exit,3,4456.729999999994,224.523915,4232.206084999994,4.244410571947975,0.6377729388497099,5.691511676688554,-2.027688435183894,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,CENTENKA,2026-07-27,2026-07-28,13:50,633.9,633.9,157,99522.3,588.55,589.5269999999999,622.0,cross,73.10291955370617,15.292583465031685,2026-07-29,close,611.25,TIME,1-day time exit,1,-3556.0499999999965,215.03740500000004,-3771.0874049999966,-3.793118788452434,-0.51044554120749,5.955197980754057,-4.275122259031394,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,CRAFTSMAN,2026-07-27,2026-07-29,15:10,9987.0,9987.0,0,0.0,9840.5,9287.91,9938.0,cross,67.33865366768241,62.53676645160306,,,0.0,NO_FILL,no daily candle after the signal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,CREDITACC,2026-07-27,2026-07-27,10:50,1612.6,1612.6,62,99981.2,1606.1,1499.7179999999998,1608.1,cross,65.86903172378354,28.826836726347366,2026-07-29,close,1590.4,TIME,2-day time exit,2,-1376.3999999999887,218.4446,-1594.8445999999888,-1.5966588118566123,-0.1966655445509453,0.0,-3.3734342056306543,,,,,,
D_early,"D · EARLY (row-3 level, 5-day hold)",swing,DEEPINDS,2026-07-27,2026-07-29,10:05,546.55,546.55,0,0.0,542.0,508.2914999999999,543.4,cross,64.55121409355462,4.623113848286531,,,0.0,NO_FILL,no daily candle after the signal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
