security_id,symbol,name,exchange_segment,series,type
335,BALKRISIND,BALKRISHNA IND. LTD,NSE_EQ,EQ,ES
338,BALMLAWRIE,BALMER LAWRIE & CO LTD,NSE_EQ,EQ,ES
13441,BALPHARMA,BAL PHARMA LTD.,NSE_EQ,EQ,ES
341,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,NSE_EQ,EQ,ES
23607,BALUFORGE,BALU FORGE INDUSTRIES LTD,NSE_EQ,EQ,ES
347,BANARBEADS,BANARAS BEADS LTD,NSE_EQ,EQ,ES
350,BANARISUG,BANNARI AMMAN SUGARS LTD,NSE_EQ,EQ,ES
13880,BANCOINDIA,BANCO PRODUCTS (I) LTD,NSE_EQ,EQ,ES
2263,BANDHANBNK,BANDHAN BANK LIMITED,NSE_EQ,EQ,ES
15303,BANG,BANG OVERSEAS LTD.,NSE_EQ,EQ,ES
822,BANKA,BANKA BIOLOO LIMITED,NSE_EQ,EQ,ES
4668,BANKBARODA,BANK OF BARODA,NSE_EQ,EQ,ES
4745,BANKINDIA,BANK OF INDIA,NSE_EQ,EQ,ES
24386,BANSALWIRE,BANSAL WIRE INDUSTRIES L,NSE_EQ,EQ,ES
14511,BANSWRAS,BANSWARA SYNTEX LIMITED,NSE_EQ,EQ,ES
368,BASF,BASF INDIA LTD,NSE_EQ,EQ,ES
12037,BASML,BANNARI AM SPIN MILL LTD.,NSE_EQ,BE,ES
371,BATAINDIA,BATA INDIA LTD,NSE_EQ,EQ,ES
762568,BATLIBOI,BATLIBOI LTD.,NSE_EQ,EQ,ES
17927,BAYERCROP,BAYER CROPSCIENCE LTD,NSE_EQ,EQ,ES
13761,BBL,BHARAT BIJLEE LTD,NSE_EQ,EQ,ES
3435,BBOX,BLACK BOX LIMITED,NSE_EQ,EQ,ES
380,BBTC,BOMBAY BURMAH TRADING COR,NSE_EQ,EQ,ES
12153,BBTCL,B&B TRIPLEWALL CONT LTD,NSE_EQ,EQ,ES
8833,BCG,BRIGHTCOM GROUP LIMITED,NSE_EQ,EQ,ES
2513,BCLIND,BCL INDUSTRIES LIMITED,NSE_EQ,EQ,ES
7780,BCONCEPTS,BRAND CONCEPTS LIMITED,NSE_EQ,EQ,ES
761494,BCPL,BCPL RAILWAY INFRA LTD,NSE_EQ,EQ,ES
2144,BDL,BHARAT DYNAMICS LIMITED,NSE_EQ,EQ,ES
17933,BEARDSELL,BEARDSELL LIMITED,NSE_EQ,EQ,ES
1628,BECTORFOOD,MRS BECTORS FOOD SPE LTD,NSE_EQ,EQ,ES
20196,BEDMUTHA,BEDMUTHA INDUST LTD,NSE_EQ,EQ,ES
762573,BEEKAY,BEEKAY STEEL INDS. LTD.,NSE_EQ,EQ,ES
383,BEL,BHARAT ELECTRONICS LTD,NSE_EQ,EQ,ES
757938,BELLACASA,BELLA CASA FASH AND RET L,NSE_EQ,EQ,ES
757102,BELRISE,BELRISE INDUSTRIES LTD,NSE_EQ,EQ,ES
395,BEML,BEML LIMITED,NSE_EQ,EQ,ES
764618,BENARAS,BENARES HOTELS LTD.,NSE_EQ,EQ,ES
762578,BENGALASM,BENGAL & ASSAM CO. LTD.,NSE_EQ,EQ,ES
419,BEPL,BHANSALI ENG. POLYMERS LT,NSE_EQ,EQ,ES
404,BERGEPAINT,BERGER PAINTS (I) LTD,NSE_EQ,EQ,ES
2306,BESTAGRO,BEST AGROLIFE LIMITED,NSE_EQ,EQ,ES
759842,BETA,BETA DRUGS LIMITED,NSE_EQ,EQ,ES
21113,BFINVEST,BF INVESTMENT LIMITED,NSE_EQ,EQ,ES
14567,BFUTILITIE,BF UTILITIES LIMITED,NSE_EQ,EQ,ES
15193,BGRENERGY,BGR ENERGY SYSTEMS LTD,NSE_EQ,BE,ES
6164,BHAGCHEM,BHAGIRADHA CHEM & INDS L,NSE_EQ,EQ,ES
13427,BHAGERIA,BHAGERIA INDUSTRIES LTD,NSE_EQ,BE,ES
20776,BHAGYANGR,BHAGYANAGAR INDIA LIMITED,NSE_EQ,EQ,ES
19556,BHANDARI,BHANDARI HOSIERY EXP LTD,NSE_EQ,EQ,ES
