pre,close,day_ret,close_pos,rvol,partial_frac,vol_today,vma50,vma_bars,range_pct,gap_pct,atr_pct,turnover_cr,ret_12m,dist_200dma,base_from_high,ret_3m_prior,ext_pct,age,fresh,tier,reject,symbol,level,mcap_cr,conviction,conv_why,rank
4,279.04998779296875,2.178682371467189,0.8944430881076388,1.1364587261288548,1.0,2495676.0,2196011.12,50,3.2252285947696335,0.6263862362795969,2.8207946991104307,46.88722568014267,31.98221513486019,35.44087582128383,-2.706584685482427,18.190126780247382,0.0358443423440713,,,,not tradeable,JINDALSAW,278.95,17756.83,,,
7,478.25,3.3607061557653584,0.9054404444116961,2.2423767793642835,1.0,2219927.0,989988.4,50,8.071095077267376,0.26002431354956723,4.262564408931372,21.837638553559266,67.86592146217015,51.81433600191598,-1.388888888888884,39.59467376884975,2.1901709401709324,0.0,True,,base was -1.4% off its 252d high (already at highs),NRBBEARING,468.0,4588.07,,,
6,528.8499755859375,3.432424840986892,0.8913784684806034,0.4717277395103864,1.0,443880.0,940966.5,50,5.483596736081826,1.2876386999172817,5.117573736892308,16.976141743827363,51.05683129567558,65.09386811185054,-2.6422395770552054,75.94980778392917,1.9961380107883286,0.0,True,,no tier,PANAMAPET,518.5,3157.46,,,
5,1986.5,5.217161016949157,0.6700798511242856,12.519730634528027,1.0,1309358.0,104583.56,50,11.306322560093127,9.94642753813062,3.740607727298776,16.137184544197385,31.47792493883759,30.726911645946164,-11.388620179666786,12.566368480621115,2.507869343103364,0.0,True,,no tier,PIXTRANS,1937.9,2683.93,,,
4,1179.699951171875,5.71735149762298,0.8971493329848204,2.1866105375832308,1.0,268667.0,122869.16,50,6.840722500652419,0.0,3.1251897855737516,10.549401511948243,1.9795903680111637,30.784415376857833,-5.424188378314709,24.4382519558475,0.4855154320166033,0.0,True,,no tier,POLYPLEX,1174.0,3691.75,,,
4,377.20001220703125,9.651166339253269,0.6939801372413253,23.563327541968526,1.0,21230478.0,900996.6,50,15.853658023525721,1.2807319834197806,3.7825709313489746,45.445143964967194,28.0162973088498,23.225975819041867,-14.671522594508657,20.357894827908773,-1.3082124000441508,0.0,True,,no tier,RAMCOIND,382.2,3277.57,,,
3,561.25,5.517949659481447,0.8223684210526315,1.7120755885885939,1.0,2053431.0,1199381.04,50,6.770601336302895,-0.19701431070816566,3.7811021018930955,41.605162574941865,-11.271834506193201,23.915395356695267,-19.857141021499057,19.80442955934567,1.6941474904874188,0.0,True,,no tier,SUMICHEM,551.9,27935.39,,,
5,1516.4000244140625,4.977502555490654,0.9407409990906085,2.688329832221526,1.0,3862927.0,1436924.5,50,6.231864842953615,1.389769741470026,3.94260952003292,214.6794113795508,110.37736544046797,56.999493797020584,-6.127693417146851,37.56577198730086,-0.08565431810881874,0.0,True,,no tier,SYRMA,1517.7,29250.92,,,
1,9524.5,1.426974069538356,0.5601503759398496,1.8943679884921367,1.0,8639.0,4560.36,50,4.189196283269463,-0.037257824143066554,3.59261453544618,3.169227675,-12.426443545421106,20.41254682429212,-21.441712660980095,22.126885075403013,-0.9360861199230297,0.0,True,,no tier,TASTYBITE,9614.5,2431.22,,,
5,622.0999755859375,3.631515614904046,0.901058516007143,0.4560098319844543,1.0,341789.0,749521.12,50,4.549115887919787,-0.48901984368524554,3.7218404953273563,72.07958061050019,38.63466868478942,34.60103777985071,-2.29978329035484,26.37477580113037,0.7530934627803854,0.0,True,,no tier,THYROCARE,617.45,9830.46,,,
